epoch,train_loss,val_mse,lr
0,14.91284502,35.64902724,0.00299999486
1,7.708205464,1.784654494,0.002999979438
2,1.124784452,0.907182077,0.002999953736
3,0.7411447237,0.6795284299,0.002999917754
4,0.5777942485,0.5831716134,0.002999871491
5,0.4767336451,0.5144847234,0.002999814949
6,0.4011163677,0.4592762188,0.002999748127
7,0.3436001543,0.4172664434,0.002999671025
8,0.2996056814,0.3842357616,0.002999583645
9,0.2651745637,0.3574490665,0.002999485987
10,0.2385356206,0.3356653669,0.002999378052
11,0.2165474664,0.3174959904,0.002999259841
12,0.198221979,0.3017703265,0.002999131353
13,0.1832086017,0.2882075195,0.002998992591
14,0.1701434366,0.2757874614,0.002998843554
15,0.1589408668,0.2646308123,0.002998684245
16,0.1492447781,0.254791527,0.002998514664
17,0.140551425,0.2460286153,0.002998334812
18,0.1334100953,0.2384076634,0.002998144691
19,0.1270012499,0.2311142321,0.002997944302
20,0.1213375577,0.2251575996,0.002997733646
21,0.1160380869,0.2189953443,0.002997512725
22,0.1114506748,0.2135144662,0.00299728154
23,0.1071340166,0.2085989461,0.002997040093
24,0.1032562432,0.2033958782,0.002996788385
25,0.09970357813,0.1983971015,0.002996526418
26,0.09651771772,0.1948978436,0.002996254195
27,0.0938653374,0.1911104127,0.002995971716
28,0.09137528721,0.1871525239,0.002995678984
29,0.08894508671,0.1834891162,0.002995376001
30,0.0870323407,0.1809720414,0.002995062768
31,0.08539908171,0.1780459962,0.002994739289
32,0.08379616986,0.1749965182,0.002994405565
33,0.08225599638,0.1725978357,0.002994061598
34,0.08075654187,0.1706835175,0.002993707391
35,0.07964651563,0.1679203877,0.002993342947
36,0.07852772221,0.1654432036,0.002992968267
37,0.07763318891,0.1640955854,0.002992583355
38,0.07709544994,0.1625557923,0.002992188213
39,0.07685136261,0.1616735456,0.002991782843
40,0.07664564297,0.16025456,0.002991367249
41,0.07639766838,0.1595692338,0.002990941433
42,0.075855864,0.1575524943,0.002990505399
43,0.07628574231,0.1583246681,0.002990059148
44,0.07753140302,0.158264073,0.002989602685
45,0.07849344889,0.1577655476,0.002989136013
46,0.07948313396,0.1589040007,0.002988659134
47,0.08139632645,0.1592596063,0.002988172052
48,0.08294588127,0.1586044042,0.00298767477
49,0.08430260294,0.1605462856,0.002987167292
50,0.08551105114,0.1609732211,0.002986649621
51,0.08757659314,0.163327681,0.002986121761
52,0.09053790742,0.1644046929,0.002985583715
53,0.09311735856,0.1661091099,0.002985035487
54,0.09583494498,0.1673765227,0.00298447708
55,0.09812647195,0.1685110543,0.002983908499
56,0.1002673336,0.1704424437,0.002983329748
57,0.1027066961,0.1720500908,0.00298274083
58,0.1069416599,0.1773131777,0.00298214175
59,0.1108971642,0.1774548465,0.002981532511
60,0.1128951219,0.1812991151,0.002980913118
61,0.1181909705,0.1871852125,0.002980283575
