epoch,train_total,train_complement,train_full,val_total,val_complement,val_full,lr,seconds
1,1.000212563804815,0.4811440224793262,0.5190685413254887,1.0360466845842575,0.5002341114504624,0.5358125731337952,0.001,0.05869555473327637
100,0.9045940354418148,0.4403387169330959,0.46425531850871893,0.9137760399445508,0.4446285893655262,0.46914745057902474,0.001,2.96941876411438
200,0.9224390972143661,0.4503046766557022,0.47213442055866395,0.8825167442213009,0.4315370424691974,0.4509797017521035,0.001,6.248432636260986
300,0.9382983171056414,0.46070665797132554,0.47759165913431584,0.8800144329227578,0.43103422155048143,0.44898021137227656,0.001,9.325700044631958
400,1.1553976319759647,0.570238629932987,0.5851590020429777,0.8799017357388147,0.4312097452473205,0.4486919904914943,0.001,12.146901369094849
500,1.041477660934372,0.513230970310456,0.528246690623916,0.8798929786899778,0.4312665810820954,0.44862639760788237,0.001,14.829561948776245
600,1.0618386352979765,0.5239339041415334,0.5379047311564431,0.8799116856885796,0.43136533147380257,0.44854635421477695,0.001,17.70183825492859
700,0.9021345484906496,0.4423630010033065,0.459771547487343,0.8798641320048062,0.4311591101276358,0.44870502187717043,0.001,20.830427646636963
800,0.9600490700485591,0.4715483504508695,0.48850071959768954,0.8798786998568494,0.43113773093444113,0.4487409689224083,0.001,26.14454412460327
900,1.0633217875052525,0.5245868962808085,0.5387348912244441,0.8798680791493899,0.43124774890805656,0.4486203302413334,0.001,31.137562036514282
1000,0.7355848297203784,0.3578331577104786,0.3777516720098998,0.8798471924350149,0.4313063351622845,0.44854085727273035,0.001,35.47389054298401
1100,1.1086858153784367,0.5487673573410708,0.5599184580373658,0.8797914734070806,0.4311979856765294,0.4485934877305513,0.001,40.23667573928833
1200,1.123852744885842,0.5557673454547172,0.5680853994311248,0.8797522230201089,0.4313440312890024,0.44840819173110646,0.001,44.923808097839355
1300,0.9264516469187902,0.4555177272346753,0.47093391968411497,0.8797444114636989,0.4312866325393739,0.4484577789243251,0.001,49.09670829772949
1400,0.9064574977586795,0.44466790145796925,0.46178959630071015,0.8798048967523537,0.43148391771420624,0.44832097903814744,0.001,53.3101122379303
1500,0.8392383274843581,0.4103475160540584,0.4288908114302997,0.8797369629625745,0.4313034268530273,0.4484335361095472,0.001,57.222508907318115
1600,0.9663858969888204,0.47579572011100313,0.49059017687781725,0.8796928273692354,0.4311862057716625,0.44850662159757304,0.001,61.125648736953735
1700,1.0319000954138133,0.509531124357576,0.5223689710562374,0.8799641467937733,0.431637000186404,0.4483271466073693,0.001,65.36364722251892
1800,0.8608089727180046,0.4209713700852725,0.43983760263273214,0.8796858569998806,0.4311929139128335,0.448492943087047,0.001,69.78646039962769
1900,0.8999881180043481,0.44227826555613303,0.4577098524482151,0.8800978643857494,0.43139200679068396,0.44870585759506554,0.001,74.5645227432251
2000,0.9802065454785953,0.4827434859872587,0.49746305949133657,0.8796485610655758,0.4312400137408059,0.4484085473247699,0.001,78.80359935760498
2100,0.8760471253777261,0.43033497768675,0.4457121476909761,0.8796543250252545,0.4312739274270944,0.44838039759816,0.001,83.51043343544006
2200,1.0009716055856699,0.49409594595162776,0.506875659634042,0.8797858206651834,0.43119178858166296,0.4485940320835205,0.001,88.02993416786194
2300,0.9537492773396126,0.46717203832241433,0.48657723901719824,0.8856698952826751,0.43160989745678374,0.4540599978258914,0.001,91.80274081230164
2400,1.033917572326069,0.5077586019492848,0.5261589703767843,0.8818402062284942,0.43110175293899733,0.45073845328949697,0.001,95.95298504829407
2500,0.8012230849487794,0.3910034870234583,0.41021959792532114,0.8782434744445536,0.42827888304799044,0.44996459139656314,0.001,100.10957455635071
2600,0.92364546448172,0.45274681739269573,0.47089864708902435,0.8759762983784749,0.4268881910040079,0.4490881073744671,0.001,103.57471370697021
2700,1.024563382297861,0.4957500416501992,0.5288133406476618,0.8739332410976569,0.42706082605101375,0.446872415046643,0.001,108.07002592086792
2800,0.7811367933491254,0.37842060075031403,0.4027161925988114,0.8721155153692118,0.42655758995697873,0.4455579254122332,0.001,112.37482285499573
2900,0.8786374528934567,0.42699126713135915,0.4516461857620976,0.8727281192845796,0.4267533656393989,0.44597475364518085,0.001,117.01262402534485
3000,0.9388718041019235,0.4570590578673033,0.4818127462346203,0.8728414433875565,0.42682530248710654,0.4460161409004499,0.001,122.81316351890564
3001,0.8789764920772266,0.43045470943070296,0.44852178264652365,0.8723333455795474,0.4267635759764105,0.44556976960313693,0.001,122.87789607048035
