epoch,train_loss,val_loss,lr,seconds,omega
0,0.20826189532814568,0.1825744613273148,0.001,0.05520439147949219,0.6656666666903024
100,0.14139813867370105,0.15204668755228043,0.001,3.4976701736450195,0.6202737225140884
200,0.11782452901986701,0.13276524347577245,0.001,6.93969464302063,0.6514129383154896
300,0.10999867780404227,0.1242131807376223,0.001,10.324987888336182,0.68327761939723
400,0.1118228634695778,0.11817733843673442,0.001,13.56678032875061,0.6991655710439975
500,0.10403278343965655,0.11368273316873019,0.001,16.890494346618652,0.7138929398252762
600,0.09796964740044778,0.10978294634995954,0.001,20.483441591262817,0.716670712792399
700,0.09534816613879799,0.10744605894800979,0.001,23.763055086135864,0.7261412250926652
800,0.0912550078934504,0.10540781153035388,0.001,27.05578374862671,0.7348667744874924
900,0.08907685498981571,0.10262990236597537,0.001,30.381909132003784,0.7326047333378177
1000,0.08216179631595727,0.102346396882706,0.001,33.70885753631592,0.7413197602490749
1100,0.08504980391627631,0.09851488448423548,0.001,37.18507266044617,0.7419644826311035
1200,0.08775975004915164,0.09837510011967499,0.001,40.5836386680603,0.7469330427974122
1300,0.08684749177403175,0.09578774983004017,0.001,43.982439279556274,0.7456811720996055
1400,0.07976823430932484,0.09449561663769623,0.001,47.32038927078247,0.7483702014249245
1500,0.07433223142217793,0.093730859438511,0.001,50.60780620574951,0.7490868425575761
1600,0.07878911837695718,0.09260364623454102,0.001,53.957541942596436,0.7567531486432015
1700,0.08799293720693024,0.09103925015780225,0.001,57.222782135009766,0.756107272515888
1800,0.07273326681254096,0.08921809647464705,0.001,60.53484559059143,0.7548945751941863
1900,0.06466569932342951,0.08943871063958422,0.001,63.91938328742981,0.7576835745708376
2000,0.07164963548653461,0.08943490239143573,0.001,67.25562953948975,0.7565477707107523
2100,0.07369288909256277,0.08819559346156117,0.001,70.69475555419922,0.7586692580883586
2200,0.06080218926054765,0.08709665030404337,0.001,74.14119911193848,0.7601362204077158
2300,0.06742749350992226,0.08763783194382373,0.001,77.69369220733643,0.7561206309475192
2400,0.06276895255887098,0.08609548536350356,0.001,81.0161645412445,0.7623762754717259
2500,0.06233288823146477,0.08603856225685746,0.001,84.38951587677002,0.7590140408640649
2600,0.06565241683711158,0.08643189101404228,0.001,87.64418888092041,0.7600389767630195
2700,0.05623938697749192,0.08595503439571539,0.001,90.8300952911377,0.7650766236661841
2800,0.05973899806897387,0.08369555632354483,0.001,94.16977119445801,0.7670781608964569
2900,0.06290264982241234,0.0846700939499769,0.001,97.52558922767639,0.7634799804652612
3000,0.06055688377029474,0.08335174506412744,0.001,100.73606634140015,0.7660909185369305
