epoch,train_loss,val_loss,lr,seconds,omega
0,0.20731483207006013,0.18376330906629723,0.001,0.05114603042602539,0.6656666666903149
100,0.16510565115557393,0.17441250107551076,0.001,3.08914852142334,0.6098531426225814
200,0.17487260962973428,0.17434083187738061,0.001,6.037353277206421,0.5970061592657954
300,0.1701138278412331,0.17390880702085554,0.001,8.994167804718018,0.6029043011794236
400,0.16672973198970167,0.17287760234282412,0.001,11.955895900726318,0.5996081938395396
500,0.18649837743877457,0.17176258603878672,0.001,14.941496849060059,0.6048390116889588
600,0.17370515403506967,0.17167056744999665,0.001,18.037895917892456,0.5945736532722267
700,0.17268336333868173,0.17137369472253325,0.001,21.061474084854126,0.594129374037945
800,0.1787847470605775,0.1705281442029935,0.001,24.177647590637207,0.6039618185056791
900,0.1741012976676873,0.17069169244343882,0.001,27.233948230743408,0.5973238844569501
1000,0.15843354317506933,0.166772563104978,0.001,30.21993660926819,0.6091460542558389
1100,0.16885233395833493,0.16410847567176456,0.001,33.217262983322144,0.614915921307448
1200,0.1694977822394379,0.1640159498714683,0.001,36.22188663482666,0.6163218922984709
1300,0.15912629670693934,0.15785560425195422,0.001,39.24204730987549,0.6249395914979349
1400,0.16082914745209856,0.1551355512513654,0.001,42.321277379989624,0.6294353710413244
1500,0.16237076299158795,0.15465569249622035,0.001,45.280420780181885,0.6317077731537326
1600,0.15606674389515307,0.15177270280318145,0.001,48.43632173538208,0.6409369982890348
1700,0.16039750076335563,0.14952858410659564,0.001,51.52792477607727,0.6444810302472741
1800,0.14985994684991324,0.1468579060041132,0.001,54.58514952659607,0.6454217695778156
1900,0.12258167408928834,0.14606339322807876,0.001,57.56414461135864,0.6484638850453048
2000,0.15438523257132358,0.1449755649143729,0.001,60.544267416000366,0.6496410934248287
2100,0.150396719805849,0.1449642676928234,0.001,63.55309748649597,0.65192812651345
2200,0.12772670349316326,0.14231295260588045,0.001,66.56548643112183,0.6525755826183604
2300,0.1450469653322693,0.14187797314906445,0.001,69.53971362113953,0.6550679022372482
2400,0.1332674911091669,0.139807012275859,0.001,72.4141595363617,0.6617046289870724
2500,0.1272191604473233,0.1393698687220035,0.001,75.4219081401825,0.6550012741852123
2600,0.14509855962029247,0.13776489213763374,0.001,78.50692057609558,0.663328142221537
2700,0.12505791488891219,0.1363532325929338,0.001,81.5430703163147,0.6681438724403252
2800,0.12717052436751158,0.1342023098576579,0.001,84.52957034111023,0.6717998765779497
2900,0.13220719613068563,0.13330977905914215,0.001,87.52437472343445,0.6699867051572955
3000,0.12893883885093207,0.13430224468861343,0.001,90.61454558372498,0.6784625281504741
