rank,test_index,mechanism,rho_jacobi,rho_gs,rho_sgs_ssor,rho_deeponet_plain,rho_deeponet_skip,rho_deeponet_skip_fourier
0,9,smooth,0.5097802664,0.3487560053,0.2020266461,0.9964795802,0.4685269772,0.2474384109
1,23,smooth,0.5102513275,0.3551942887,0.2093764838,0.994201185,0.4669567386,0.2770721164
2,49,multiscale,0.6280676618,0.4089932798,0.2403815916,0.9919580751,0.5702116928,0.4735304851
3,50,multiscale,0.5182356399,0.4022115052,0.2300602963,0.9083554067,0.4766963148,0.3371948774
4,56,multiscale,0.6237124096,0.4195462172,0.257086499,0.9995731316,0.5624563532,0.3960545389
5,59,multiscale,0.5115167634,0.3463320342,0.1683437823,0.9898624572,0.4616963406,0.3600226083
6,61,multiscale,0.6732580643,0.4300239781,0.250031377,1.000461528,0.6389966631,0.5032794166
7,73,multiscale,0.5321968273,0.3636204135,0.1881117607,0.9882308672,0.4902812791,0.3298212659
8,75,multiscale,0.5891313801,0.4063359716,0.2399176149,0.9758534788,0.5136720308,0.3383176817
9,88,multiscale,0.6156444023,0.3796128998,0.2100328168,0.9988825911,0.5451271251,0.4266941611
10,109,localized,0.5793210471,0.4881581639,0.2733096904,0.9137569797,0.5678827403,0.4727865272
11,110,localized,0.5997128003,0.474745596,0.2651950064,0.8820907388,0.5813825024,0.3972772272
12,117,localized,0.5379722319,0.5103071809,0.3296213633,0.5137646511,0.3767545736,0.2227267848
13,125,localized,0.5286675201,0.4879074959,0.3067357964,0.5830545283,0.4046965256,0.2394065266
14,141,localized,0.5118531152,0.4205822237,0.2123187518,0.6741755641,0.4504265646,0.2789429993
15,213,mixed,0.5208352718,0.3599347499,0.1838081683,0.9754551421,0.4736983645,0.3321233889
16,215,mixed,0.5525437458,0.378733443,0.2074250784,0.9359820492,0.4984747829,0.4156293845
17,216,mixed,0.5338428134,0.3467836159,0.1821906498,0.9882036703,0.4800110203,0.3379201242
18,222,mixed,0.5254666397,0.3692830341,0.1875921683,0.9850732553,0.4778032868,0.3822403168
19,245,mixed,0.5447843942,0.3719339925,0.1957315309,0.9756721263,0.5055503626,0.3876735609
