epoch,train_loss,val_energy,lr
0,0.3303952130952949,0.30222133037849425,0.001
1000,0.29151618893397047,0.30289977785754485,0.001
2000,0.2648163323088203,0.30194304588641885,0.001
3000,0.3277224838669796,0.305304469048619,0.001
4000,0.2684079500378345,0.30271577880917266,0.001
