rank,test_index,mechanism,rho_jacobi,rho_gs,rho_sgs_ssor,rho_deeponet_plain,rho_deeponet_skip,rho_deeponet_skip_fourier
0,9,smooth,0.5194349214,0.3448407593,0.1993852184,0.996553431,0.4793339585,0.3007923113
1,23,smooth,0.5196623263,0.3493126426,0.2039855479,0.9966049902,0.4762204078,0.3215779408
2,35,multiscale,0.5203994115,0.3513555188,0.1762052833,0.9894501903,0.4771791963,0.3971398981
3,49,multiscale,0.6513443872,0.4218036274,0.2449188564,0.9935968541,0.6028388259,0.559124737
4,50,multiscale,0.5280086367,0.40966376,0.2301945435,0.935168353,0.4894124862,0.367526592
5,56,multiscale,0.6456314997,0.4277970838,0.2572865816,1.000070048,0.6018378603,0.4704446405
6,59,multiscale,0.5200655059,0.3507769963,0.1687926972,0.9942486997,0.4742874624,0.3888913782
7,61,multiscale,0.695329847,0.4455499141,0.2575315948,1.000339647,0.6646371765,0.5804181145
8,73,multiscale,0.5460024084,0.3678395681,0.1858844494,0.9894946347,0.5078799986,0.3758658995
9,75,multiscale,0.6124866102,0.4177795584,0.2402979006,0.9801546439,0.5461788981,0.431300104
10,88,multiscale,0.6498865101,0.4110734688,0.2336431881,1.000283288,0.5995956243,0.5046396594
11,109,localized,0.5687421272,0.5006905978,0.2826273414,0.9017055357,0.5488831839,0.4872415206
12,110,localized,0.5969250161,0.4790701405,0.2666841541,0.8813963779,0.5697781711,0.4443256787
13,117,localized,0.5387735654,0.5121500849,0.330508776,0.542172538,0.3811979418,0.258303659
14,125,localized,0.5299029245,0.4913791153,0.3081087603,0.5459881581,0.4289389694,0.2717452163
15,213,mixed,0.5297351239,0.3666009696,0.1859582824,0.9812827257,0.4890659656,0.38573522
16,215,mixed,0.5642979165,0.3887208317,0.2109198802,0.9522438236,0.525620075,0.4795955284
17,216,mixed,0.5518578924,0.3566160414,0.1854792934,0.9916061404,0.5070657666,0.3882658362
18,222,mixed,0.5321231375,0.3734050656,0.1892011555,0.9893590558,0.4912024193,0.4280265568
19,245,mixed,0.5603432339,0.3835692315,0.2003301608,0.985781316,0.5273521954,0.445089384
