epoch,train_loss,val_loss,lr,seconds,omega
0,1.001299547983788,1.0015122642629257,0.001,0.09218835830688477,nan
100,0.9981619917991393,0.9990747648324793,0.001,3.434427261352539,nan
200,0.9977515197692642,0.9986789103319632,0.001,6.422618389129639,nan
300,0.9980333773984553,0.9978450501265674,0.001,9.403388261795044,nan
400,0.9943881786726954,0.9930347833203147,0.001,12.350447177886963,nan
500,0.9839320695279901,0.984170911184852,0.001,15.279480934143066,nan
600,0.9885212641380534,0.9780854056282642,0.001,18.270705699920654,nan
700,0.9582604507753172,0.9660996227520382,0.001,21.286623239517212,nan
800,0.9482515965834487,0.9591195786265876,0.001,24.191675186157227,nan
900,0.9592968217926793,0.9511276227470125,0.001,26.987805128097534,nan
1000,0.9369953270902839,0.9417552466886954,0.001,29.9477117061615,nan
1100,0.9489476955180671,0.9288869614455285,0.001,32.7610239982605,nan
1200,0.9393919740068315,0.9241568542761613,0.001,35.56914663314819,nan
1300,0.9421383941257654,0.9220528035628315,0.001,38.47120785713196,nan
1400,0.9472892271517331,0.9230472473428001,0.001,41.55608034133911,nan
1500,0.9064324055014524,0.9128523312317015,0.001,44.48117923736572,nan
1600,0.9217544215699061,0.9074514533663722,0.001,47.353461027145386,nan
1700,0.9205244758289189,0.8992110204840881,0.001,50.29022574424744,nan
1800,0.8928094807860586,0.8972345952197787,0.001,53.29565620422363,nan
1900,0.8756822645867476,0.8872551581178292,0.001,56.15704131126404,nan
2000,0.8810197970638152,0.8782056423551354,0.001,59.023932695388794,nan
2100,0.8699881282228603,0.8801899838813441,0.001,62.04645037651062,nan
2200,0.8466017522637659,0.8700528274190438,0.001,64.90477347373962,nan
2300,0.8527019461867184,0.8602840996228867,0.001,67.73835778236389,nan
2400,0.8019512550922699,0.8583991635370618,0.001,70.68049907684326,nan
2500,0.772907562924149,0.8548215039328732,0.001,73.69613647460938,nan
2600,0.8364120562935571,0.8486763618423432,0.001,76.71469116210938,nan
2700,0.8183419027462353,0.8434631318809662,0.001,79.97460412979126,nan
2800,0.7838920407987857,0.8371720010149728,0.001,83.64863657951355,nan
2900,0.7897324081073451,0.8352474652112931,0.001,86.8904013633728,nan
3000,0.8618055118741139,0.8265671711071345,0.001,89.71470427513123,nan
