method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,0.01,0,16,16,1,yes,1,2.484958784e-16,2.484958784e-16,0.02604281,0.102406841,0.011589315,0.02998392,0.377678509,0.01186847687,9.23046875,217.8085938,3.26234746,1.736836672,0.5927350521
cg-mg,1,0.01,1,64,64,2,yes,6,0.01061636751,1.431712003e-12,0.003403484,0.010891552,0.005982636,0.00995802,0.309046435,0.04120254517,10.4765625,219.0546875,1.523200274,0.4464696646,0.1516425312
cg-mg,1,0.01,2,256,256,3,yes,8,0.03959498901,6.041180525e-12,0.007942256,0.040683601,0.004660311,0.006519498,0.735514893,0.1530942917,10.734375,219.3125,0.6710247993,0.1163709164,0.04708962888
cg-mg,1,0.01,3,1024,1024,4,yes,10,0.07560459281,6.10213466e-12,0.022146387,0.073369446,0.010102871,0.078507982,2.519330012,0.5943698883,28.55078125,237.1289062,0.3170308471,0.02945340797,0.01274203323
cg-mg,1,0.01,4,4096,4096,5,yes,10,0.09527083908,6.160272193e-11,0.033941409,0.353292937,0.076379635,0.223640032,10.47181477,2.354828835,32.76171875,241.3398438,0.1559679359,0.007390745915,0.003218586091
cg-mg,1,0.01,5,16384,16384,6,yes,11,0.1049860838,1.707847525e-11,0.222177394,1.618403018,0.202614818,0.624667699,38.12121774,9.389274597,54.1328125,262.7109375,0.07767073065,0.001849929919,0.000806770171
