run,trunk,p,params,log_points,objective,val_energy,train_s,L_E,L_CGC_assembled,L_CGC_galerkin,vcycle_first,vcycle_after_k,DeepONet_ALL,DeepONet_smooth,DeepONet_multiscale,DeepONet_localized,DeepONet_algebraic,jacobi_ALL,jacobi_smooth,jacobi_multiscale,jacobi_localized,jacobi_algebraic,sgs_ALL,sgs_smooth,sgs_multiscale,sgs_localized,sgs_algebraic
L3_cgc_l0.0,trig+jacobi,128,230401,5,L_CGC + 0 * L_E,1.4819268252698745,272.3308594999835,1.069126647822027,0.049423512023117684,0.04928654301325341,0.23161482805538577,0.011611545810525259,0.9023721734806245,0.5105122187730854,0.6298022674136066,0.5753724062980661,1.568135165915035,0.6432838272449268,0.932032843880377,0.4374872830833426,0.8464530638022278,0.41028334983751547,0.42969625632713265,0.7434563155142162,0.2237145823759413,0.6242454072354496,0.1642389630179583
L3_cgc_l0.1,trig+jacobi,128,230401,5,L_CGC + 0.1 * L_E,0.21448633011228663,267.53333470004145,0.16602582735257326,0.05821135985765674,0.058200168313905024,0.1075766531857259,0.008966818451434476,0.3849336537540316,0.19401612309935443,0.4096910305844039,0.43163920638769754,0.4717446543054936,0.6432838272449268,0.932032843880377,0.4374872830833426,0.8464530638022278,0.41028334983751547,0.42969625632713265,0.7434563155142162,0.2237145823759413,0.6242454072354496,0.1642389630179583
L4_cgc_l0.1,trig+jacobi,256,656513,5,L_CGC + 0.1 * L_E,0.3023945392906677,596.435650200001,0.48312731156896604,0.07135878051317986,0.07135673548935045,0.17505365975369128,0.014262152054340381,0.6483840833542874,0.9834892244716713,0.4560253173344101,0.8542172485602606,0.4050575218037073,0.6433427278800831,0.9824983703060525,0.4425509248240712,0.8471304154554827,0.40663801398314847,0.44760021182490434,0.916943848055632,0.229055449327859,0.6178488790938583,0.1646536977394269
L4_skip_jacobi_trig256,trig+jacobi,256,656513,5,,0.30194304588641885,1150.7573437000392,,,,0.1754850159737678,,0.6409334328531329,0.9393997134415073,0.4543334653974676,0.8427455407556514,0.42487030344003707,0.6433427278800831,0.9824983703060525,0.4425509248240712,0.8471304154554827,0.40663801398314847,0.44760021182490434,0.916943848055632,0.229055449327859,0.6178488790938583,0.1646536977394269
L5_cgc_l0.1,trig+jacobi,256,2229377,5,L_CGC + 0.1 * L_E,0.2974334051589266,1830.03413299995,0.5024416843007046,0.0721061550414516,0.07210602359948666,0.17356972680834426,0.014061889788385212,0.6631470135709812,0.9947777978049466,0.44908839190693167,0.8546453555419197,0.400357138498811,0.661540295175797,0.9955919541935847,0.4411715613548549,0.8473432860371387,0.4098831888630053,0.46992670282311116,0.9770459089199395,0.2292839427930517,0.6138146831498046,0.16407327525097132
L5_skip_jacobi_trig256,trig+jacobi,256,2229377,5,,0.29375738304281535,1398.4484030000167,,,,0.1750902918791055,,0.6615926534104165,0.9944147432645716,0.43966537471398315,0.8451184412335138,0.4152679489731813,0.661540295175797,0.9955919541935847,0.4411715613548549,0.8473432860371387,0.4098831888630053,0.46992670282311116,0.9770459089199395,0.2292839427930517,0.6138146831498046,0.16407327525097132
skip_jacobi_trig128,trig+jacobi,128,230401,5,,0.19445526995561896,880.4755791000789,,,,0.10842246924401458,,0.3855807094073259,0.19680016900382208,0.396875892676546,0.50191293922186,0.43052240995480523,0.6432838272449268,0.932032843880377,0.4374872830833426,0.8464530638022278,0.41028334983751547,0.42969625632713265,0.7434563155142162,0.2237145823759413,0.6242454072354496,0.1642389630179583
spec_xyz_p64,xyz,64,213824,5,,0.861427671540588,349.1221263000043,,,,0.428286321376314,,0.7765146410176924,0.36792402649538436,0.9728682220721889,0.6684587820118563,1.0150279864007217,0.6432838272449268,0.932032843880377,0.4374872830833426,0.8464530638022278,0.41028334983751547,0.42969625632713265,0.7434563155142162,0.2237145823759413,0.6242454072354496,0.1642389630179583
trunk_fourier16,fourier16,1024,738688,5,,0.760639179235502,1560.9396220000926,,,,0.4719424759252791,,0.7616289051726364,0.47394807333924244,0.8785539560872906,0.6877072516150127,0.936880311791055,0.6432838272449268,0.932032843880377,0.4374872830833426,0.8464530638022278,0.41028334983751547,0.42969625632713265,0.7434563155142162,0.2237145823759413,0.6242454072354496,0.1642389630179583
trunk_trig_p1024,trig,1024,460672,5,,0.8620918893114342,937.2276265000692,,,,0.4217980440482003,,0.7655098061737763,0.29515699051969,0.9682950860956636,0.6939859242769518,1.010773387987785,0.6432838272449268,0.932032843880377,0.4374872830833426,0.8464530638022278,0.41028334983751547,0.42969625632713265,0.7434563155142162,0.2237145823759413,0.6242454072354496,0.1642389630179583
