method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,0.0001,0,16,16,1,yes,1,2.409868497e-16,2.409868497e-16,0.023373762,0.093883858,0.010296354,0.039217827,0.350039115,0.01186847687,10.0625,218.2070312,3.2806952,1.730589867,0.5923214555
cg-mg,1,0.0001,1,64,64,2,yes,6,0.0104417196,1.296081046e-12,0.005385168,0.016903254,0.016165064,0.018531802,0.34232297,0.04120254517,11.21875,219.3632812,1.538908482,0.4471557736,0.152178973
cg-mg,1,0.0001,2,256,256,3,yes,8,0.03978564743,6.277857277e-12,0.019225552,0.061148012,0.012309852,0.028775052,0.898203942,0.1530942917,11.4609375,219.6054688,0.6779326797,0.1173432395,0.04734618962
cg-mg,1,0.0001,3,1024,1024,4,yes,10,0.07523176769,5.807813525e-12,0.039104515,0.087392439,0.009415187,0.048549174,2.568167017,0.5943698883,29.21484375,237.359375,0.3190927207,0.02984212711,0.01280845888
cg-mg,1,0.0001,4,4096,4096,5,yes,10,0.09540932884,6.250408586e-11,0.037193681,0.346252386,0.076280391,0.213212775,8.599063182,2.354828835,33.1953125,241.3398438,0.1563635468,0.007497290149,0.003234183416
cg-mg,1,0.0001,5,16384,16384,6,yes,11,0.1052374914,1.753377204e-11,0.233084414,1.516008646,0.19887014,0.690135773,36.56071739,9.389274597,56.91015625,265.0546875,0.07772922516,0.001876786468,0.0008107718313
