method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,0.01,0,16,16,1,yes,1,2.581930325e-16,2.581930325e-16,0.020667299,0.063870048,0.01015908,0.033651023,0.322604897,0.01186847687,9.265625,216.7148438,3.308223963,1.72162044,0.5917068124
cg-mg,1,0.01,1,64,64,2,yes,11,0.1112830351,3.241295163e-11,0.003080195,0.015404094,0.009414873,0.012594975,0.336701595,0.04120254517,10.8203125,218.2695312,1.355220675,0.3987941146,0.1274276674
cg-mg,1,0.01,2,256,256,3,yes,19,0.2875649092,5.199743173e-11,0.010318406,0.051897725,0.003722141,0.013851132,0.63336991,0.1530942917,11.078125,218.5273438,0.6336650848,0.1039931104,0.03925912082
cg-mg,1,0.01,3,1024,1024,4,yes,29,0.4400986333,4.602041979e-11,0.027476791,0.102909791,0.024076849,0.268297091,2.219226797,0.5943698883,28.953125,236.4023438,0.3118795455,0.02629485354,0.009922897443
cg-mg,1,0.01,4,4096,4096,5,yes,40,0.560819285,8.972584874e-11,0.063081759,0.45403958,0.11529378,0.81736864,9.582588082,2.354828835,34.52734375,241.9765625,0.155333519,0.006592466496,0.002496139612
cg-mg,1,0.01,5,16384,16384,6,yes,57,0.6671958299,9.603718546e-11,0.197225412,1.860303606,0.222134554,3.691615729,37.25498996,9.389274597,58.41796875,265.8671875,0.07759134471,0.001649291604,0.0006247262354
