method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,0.001,0,16,16,1,yes,1,5.624023514e-16,5.624023514e-16,0.026955451,0.077498091,0.011311246,0.038581486,0.345453385,0.01186847687,9.94921875,217.4492188,3.279000044,1.731158018,0.5923595428
cg-mg,1,0.001,1,64,64,2,yes,6,0.01055359894,1.381667419e-12,0.003670426,0.012558482,0.008530631,0.008649947,0.294330418,0.04120254517,11.1640625,218.6640625,1.537404895,0.4470742047,0.1521268785
cg-mg,1,0.001,2,256,256,3,yes,8,0.03976605124,6.253162897e-12,0.008960956,0.049305957,0.004911403,0.007199306,0.593654449,0.1530942917,11.40234375,218.9023438,0.6772021055,0.1172340438,0.04731914774
cg-mg,1,0.001,3,1024,1024,4,yes,10,0.07526721996,5.835240413e-12,0.036979185,0.139054805,0.010367211,0.070143253,2.115307157,0.5943698883,28.953125,236.453125,0.3187992275,0.0297902599,0.01280110236
cg-mg,1,0.001,4,4096,4096,5,yes,10,0.09539648474,6.241999322e-11,0.049014508,0.331381406,0.073081215,0.227721709,8.589065484,2.354828835,33.921875,241.421875,0.1562674642,0.00747964764,0.003232305637
cg-mg,1,0.001,5,16384,16384,6,yes,11,0.1052318361,1.752341025e-11,0.186002797,1.676171639,0.280460265,0.770501771,37.14779361,9.389274597,55.93359375,263.4335938,0.07770718634,0.001871941495,0.0008102685097
