method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,0.001,0,16,16,1,yes,1,4.617017579e-16,4.617017579e-16,0.060705158,0.050797042,0.008440349,0.03337808,0.347167351,0.01186847687,9.11328125,216.2734375,3.309457541,1.721229672,0.5916794538
cg-mg,1,0.001,1,64,64,2,yes,11,0.1133485542,3.968038089e-11,0.00347168,0.02315333,0.009223469,0.007970855,0.23616661,0.04120254517,10.359375,217.5195312,1.35529387,0.3987503946,0.1274006367
cg-mg,1,0.001,2,256,256,3,yes,20,0.3093332219,6.434744396e-11,0.002912006,0.024177603,0.004453798,0.020182561,0.790625849,0.1530942917,10.6171875,217.7773438,0.6336759925,0.1039772704,0.0392566435
cg-mg,1,0.001,3,1024,1024,4,yes,35,0.5126857112,6.995076616e-11,0.028773514,0.074015545,0.019005318,0.303128327,2.72309608,0.5943698883,28.58203125,235.7421875,0.3118809164,0.02629054524,0.009923039004
cg-mg,1,0.001,4,4096,4096,5,yes,57,0.6655575635,8.34796315e-11,0.045395289,0.550094807,0.097352033,1.254986489,10.24432108,2.354828835,33.1015625,240.2617188,0.155333668,0.00659136707,0.002496082801
cg-mg,1,0.001,5,16384,16384,6,yes,88,0.7693401447,9.515218054e-11,0.198613832,1.892896227,0.272377527,5.170889909,36.84691451,9.389274597,54.66015625,261.8203125,0.07759136707,0.001649015234,0.0006246996927
