method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,0.1,0,16,16,1,yes,1,3.772237242e-16,3.772237242e-16,0.02042174,0.073644236,0.018237816,0.049780699,0.339807699,0.01186847687,9.9609375,217.453125,3.296215296,1.725474358,0.5919740796
cg-mg,1,0.1,1,64,64,2,yes,10,0.09447646392,5.665474651e-11,0.007018353,0.026650146,0.007221645,0.007594997,0.20620878,0.04120254517,11.17578125,218.6679688,1.354520321,0.3992199004,0.1276921779
cg-mg,1,0.1,2,256,256,3,yes,14,0.1833112633,4.837802175e-11,0.00808242,0.046727149,0.00368217,0.010736859,0.616452522,0.1530942917,11.43359375,218.9257812,0.633559227,0.1041490883,0.03928309679
cg-mg,1,0.1,3,1024,1024,4,yes,20,0.3060968031,5.214058226e-11,0.017059597,0.070063656,0.018651713,0.217500289,2.288650625,0.5943698883,29.28515625,236.7773438,0.3118661642,0.0263373889,0.009921328165
cg-mg,1,0.1,4,4096,4096,5,yes,25,0.3843833974,4.160212592e-11,0.066378846,0.515837437,0.075861697,0.657833575,8.919204525,2.354828835,34.27734375,241.7695312,0.1553318202,0.006603328511,0.002496666042
cg-mg,1,0.1,5,16384,16384,6,yes,28,0.4311068063,5.866466933e-11,0.206873693,2.03310664,0.197781469,1.703178022,32.53296212,9.389274597,58.40234375,265.8945312,0.0775911361,0.001652021427,0.0006249808357
