method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,1,0,16,16,1,yes,1,5.464525307e-16,5.464525307e-16,0.03153153,0.108657005,0.006740366,0.023594596,0.360553544,0.01186847687,9.625,217.015625,3.202040434,1.758941412,0.5941184759
cg-mg,1,1,1,64,64,2,yes,7,0.03428864254,5.57252524e-11,0.004000316,0.013909802,0.006566919,0.008391808,0.263686976,0.04120254517,10.84375,218.234375,1.350083232,0.402512759,0.1298478246
cg-mg,1,1,2,256,256,3,yes,9,0.06725355913,2.81473461e-11,0.011038159,0.0339062,0.004765055,0.007502417,0.756766418,0.1530942917,11.1015625,218.4921875,0.6327714324,0.1055039763,0.03945561871
cg-mg,1,1,3,1024,1024,4,yes,10,0.09104691102,3.914282439e-11,0.027810779,0.066155159,0.017390691,0.089021173,2.300602835,0.5943698883,29.00390625,236.3945312,0.3117645085,0.02671561949,0.009908813983
cg-mg,1,1,4,4096,4096,5,yes,11,0.1065504217,2.009587418e-11,0.041888367,0.453502404,0.077352774,0.269982652,8.074517739,2.354828835,34.328125,241.71875,0.1553190351,0.006700437982,0.00250497763
cg-mg,1,1,5,16384,16384,6,yes,11,0.1182844795,6.341695608e-11,0.25467318,2.063830273,0.189560372,0.62107664,33.54594558,9.389274597,57.7109375,265.1015625,0.07758953422,0.001676459564,0.000627563335
