method,degree,epsilon,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-mg,1,0.1,0,16,16,1,yes,1,4.316025966e-16,4.316025966e-16,0.020617385,0.076252529,0.007840865,0.04755616,0.33385214,0.01186847687,8.51953125,215.8007812,3.121538162,1.792448997,0.5960301757
cg-mg,1,0.1,1,64,64,2,yes,6,0.01241097039,3.654554447e-12,0.005842466,0.024408407,0.010651987,0.006209907,0.223152812,0.04120254517,10.9375,218.21875,1.433414817,0.4526206255,0.1492049992
cg-mg,1,0.1,2,256,256,3,yes,8,0.04559612347,1.868200003e-11,0.008120939,0.030693952,0.004415529,0.011421412,0.892096014,0.1530942917,11.1953125,218.4765625,0.6482961774,0.1162646562,0.04657548666
cg-mg,1,0.1,3,1024,1024,4,yes,10,0.07952388146,1.011522838e-11,0.034421286,0.100814137,0.024244499,0.092442173,2.556768964,0.5943698883,28.66796875,235.9492188,0.3138240874,0.02935298532,0.01253043208
cg-mg,1,0.1,4,4096,4096,5,yes,10,0.0980892111,8.245413052e-11,0.049092975,0.34455364,0.076883499,0.238302947,9.729699173,2.354828835,33.5703125,240.8515625,0.1555821151,0.007358883973,0.003162593348
cg-mg,1,0.1,5,16384,16384,6,yes,11,0.1053320002,1.770776077e-11,0.193026868,1.793887314,0.265749162,0.814818909,32.46370426,9.389274597,55.421875,262.703125,0.07762259245,0.001841031015,0.0007927626721
