epsilon,anisotropy,block,family,method,ratio_kind,statistic,value
1.0,1.0,classical_families,fourier,gs,full,p95,0.39669631440621017
1.0,1.0,classical_families,fourier,gs,full,p99,0.4092067247162348
1.0,1.0,classical_families,fourier,gs,full,worst,0.4119594464621562
1.0,1.0,classical_families,fourier,gs,full,best,0.1874572600061992
1.0,1.0,classical_families,fourier,gs,full,frac_above_1,0.0
1.0,1.0,classical_families,fourier,gs,full,mean_squared_ratio,0.10141968607123499
1.0,1.0,classical_families,fourier,gs,complement,n,24
1.0,1.0,classical_families,fourier,gs,complement,mean,0.2512589432450932
1.0,1.0,classical_families,fourier,gs,complement,median,0.24766472035034892
1.0,1.0,classical_families,fourier,gs,complement,p95,0.3085676491136082
1.0,1.0,classical_families,fourier,gs,complement,p99,0.34068381027538863
1.0,1.0,classical_families,fourier,gs,complement,worst,0.3501311350651516
1.0,1.0,classical_families,fourier,gs,complement,best,0.14293560154849624
1.0,1.0,classical_families,fourier,gs,complement,frac_above_1,0.0
1.0,1.0,classical_families,fourier,gs,complement,mean_squared_ratio,0.06515209850495839
1.0,1.0,classical_families,fourier,sgs_ssor,full,n,24
1.0,1.0,classical_families,fourier,sgs_ssor,full,mean,0.14884045191037376
1.0,1.0,classical_families,fourier,sgs_ssor,full,median,0.14709588155304407
1.0,1.0,classical_families,fourier,sgs_ssor,full,p95,0.2012600742132356
1.0,1.0,classical_families,fourier,sgs_ssor,full,p99,0.2125532115716769
1.0,1.0,classical_families,fourier,sgs_ssor,full,worst,0.21568585652745642
1.0,1.0,classical_families,fourier,sgs_ssor,full,best,0.06403114310630423
1.0,1.0,classical_families,fourier,sgs_ssor,full,frac_above_1,0.0
1.0,1.0,classical_families,fourier,sgs_ssor,full,mean_squared_ratio,0.023591000519018756
1.0,1.0,classical_families,fourier,sgs_ssor,complement,n,24
1.0,1.0,classical_families,fourier,sgs_ssor,complement,mean,0.1319929992184016
1.0,1.0,classical_families,fourier,sgs_ssor,complement,median,0.13236294711884788
1.0,1.0,classical_families,fourier,sgs_ssor,complement,p95,0.17966515099963082
1.0,1.0,classical_families,fourier,sgs_ssor,complement,p99,0.1860510913928486
1.0,1.0,classical_families,fourier,sgs_ssor,complement,worst,0.1878580738436805
1.0,1.0,classical_families,fourier,sgs_ssor,complement,best,0.061849098006904746
1.0,1.0,classical_families,fourier,sgs_ssor,complement,frac_above_1,0.0
1.0,1.0,classical_families,fourier,sgs_ssor,complement,mean_squared_ratio,0.018384998624228408
1.0,1.0,classical_families,weak,jacobi,full,n,24
1.0,1.0,classical_families,weak,jacobi,full,mean,0.5742473452787785
1.0,1.0,classical_families,weak,jacobi,full,median,0.5773901052102772
1.0,1.0,classical_families,weak,jacobi,full,p95,0.7093222876753397
1.0,1.0,classical_families,weak,jacobi,full,p99,0.7104534847584293
1.0,1.0,classical_families,weak,jacobi,full,worst,0.7104534847584295
1.0,1.0,classical_families,weak,jacobi,full,best,0.4471930315153058
1.0,1.0,classical_families,weak,jacobi,full,frac_above_1,0.0
1.0,1.0,classical_families,weak,jacobi,full,mean_squared_ratio,0.3361995132780322
1.0,1.0,classical_families,weak,jacobi,complement,n,24
1.0,1.0,classical_families,weak,jacobi,complement,mean,0.5671625110372821
1.0,1.0,classical_families,weak,jacobi,complement,median,0.5717926227361341
1.0,1.0,classical_families,weak,jacobi,complement,p95,0.708919293031928
1.0,1.0,classical_families,weak,jacobi,complement,p99,0.7104534847584295
1.0,1.0,classical_families,weak,jacobi,complement,worst,0.7104534847584297
1.0,1.0,classical_families,weak,jacobi,complement,best,0.4456991959202009
1.0,1.0,classical_families,weak,jacobi,complement,frac_above_1,0.0
1.0,1.0,classical_families,weak,jacobi,complement,mean_squared_ratio,0.327710661882008
1.0,1.0,classical_families,weak,gs,full,n,24
1.0,1.0,classical_families,weak,gs,full,mean,0.3883420515911049
1.0,1.0,classical_families,weak,gs,full,median,0.39475462147642815
1.0,1.0,classical_families,weak,gs,full,p95,0.4951826450905363
1.0,1.0,classical_families,weak,gs,full,p99,0.49533967362845466
1.0,1.0,classical_families,weak,gs,full,worst,0.4953396736284548
1.0,1.0,classical_families,weak,gs,full,best,0.2901836053328179
1.0,1.0,classical_families,weak,gs,full,frac_above_1,0.0
1.0,1.0,classical_families,weak,gs,full,mean_squared_ratio,0.15624729768350576
1.0,1.0,classical_families,weak,gs,complement,n,24
1.0,1.0,classical_families,weak,gs,complement,mean,0.3613112334427353
1.0,1.0,classical_families,weak,gs,complement,median,0.35231235514742476
1.0,1.0,classical_families,weak,gs,complement,p95,0.48269628864996794
1.0,1.0,classical_families,weak,gs,complement,p99,0.48391603956630375
