epoch,train_total,train_complement,train_full,val_total,val_complement,val_full,lr,seconds
0,1.000212563804815,0.4811440224793262,0.5190685413254887,1.0360466845842575,0.5002341114504624,0.5358125731337952,0.001,0.06087183952331543
100,0.9286858616296888,0.451334119657019,0.47735174197266983,0.9131525192821082,0.4443517951322719,0.4688007241498362,0.001,4.244442701339722
200,1.0641602264150367,0.5233276428308072,0.5408325835842294,0.8824484972875686,0.43151140944144634,0.45093708784612224,0.001,8.363234519958496
300,0.9684867412124889,0.4757763590548912,0.4927103821575977,0.880009931368692,0.4310395108264635,0.4489704205422285,0.001,12.571669340133667
400,0.9163507641829349,0.4493514597234654,0.46699930445946947,0.8799106539106951,0.4312089566234883,0.4487016972872068,0.001,16.83004593849182
500,1.0633671969016971,0.5247098965609793,0.5386573003407178,0.8798861608515882,0.4312699835459189,0.44861617730566933,0.001,21.025514125823975
600,0.9472437293011851,0.4652326211314781,0.48201110816970694,0.8799049842563827,0.4313678540200698,0.448537130236313,0.001,25.70499348640442
700,0.9232079994565877,0.4518885435944506,0.47131945586213714,0.8798683692021012,0.4311627565729288,0.44870561262917247,0.001,30.256090879440308
800,0.94188695685341,0.46259062416423047,0.4792963326891795,0.8798656115266354,0.4311404439206055,0.44872516760602993,0.001,34.47292470932007
900,1.0234931567429366,0.5044616392920362,0.5190315174509004,0.8798675987438176,0.4312609574148711,0.4486066413289465,0.001,38.63784623146057
1000,1.0680730351708747,0.5275006867311031,0.5405723484397715,0.8798442324382696,0.4313063040274274,0.4485379284108422,0.001,42.74292302131653
1100,0.8389795954943378,0.4103930119897477,0.42858658350459006,0.8797860568216527,0.4311882090042003,0.44859784781745243,0.001,46.835556745529175
1200,0.9586407756750976,0.470694960063898,0.48794581561119965,0.8797419722761255,0.4313497977915797,0.4483921744845458,0.001,51.03168344497681
1300,0.7699294519593423,0.3761875635320014,0.3937418884273409,0.8797453547060416,0.4312871158004657,0.44845823890557596,0.001,55.213133811950684
1400,0.9585780255630233,0.47160495282275094,0.48697307274027235,0.8798468988523049,0.4315028501064402,0.44834404874586475,0.001,59.45634055137634
1500,0.7546714693526948,0.36833681099843163,0.38633465835426317,0.8797354110256459,0.43130363462551147,0.4484317764001344,0.001,63.685022830963135
1600,0.9647577205773221,0.47375244239566944,0.49100527818165274,0.8796916805125039,0.4311851817329162,0.44850649877958776,0.001,67.89574837684631
1700,0.9514176768968674,0.46781707279166385,0.48360060410520356,0.8799643173411836,0.43162855196768085,0.4483357653735028,0.001,72.03390836715698
1800,0.8671727795148698,0.4247019554822856,0.4424708240325842,0.8796660663919131,0.43120169143447074,0.4484643749574424,0.001,76.363938331604
1900,0.9525309415289056,0.4679242105268579,0.48460673100204765,0.8800459833081946,0.43140230388823086,0.44864367941996375,0.001,80.53995180130005
2000,0.8623163529509338,0.42194099261519513,0.44037536033573865,0.8796504944470263,0.43123866711024644,0.4484118273367798,0.001,84.723712682724
2100,0.7942939275149239,0.38891576341741546,0.4053781640975085,0.8796660841907039,0.4312679073659254,0.4483981768247785,0.001,89.01096415519714
2200,1.052251632006278,0.5179657730904281,0.5342858589158498,0.8797853400908386,0.4311833754575711,0.44860196463326746,0.001,93.20229697227478
2300,0.998499253561139,0.4871945201934614,0.5113047333676777,0.8852169501297154,0.43159280113010495,0.45362414899961045,0.001,97.2642412185669
2400,0.887010331101972,0.43133186504722987,0.45567846605474216,0.8824714914664218,0.4311644955762263,0.4513069958901954,0.001,101.38609457015991
2500,0.9949792809677126,0.48754176148710926,0.5074375194806033,0.8776485611714107,0.4283822383501768,0.44926632282123385,0.001,105.54108166694641
2600,1.0603216394189596,0.5161024182736221,0.5442192211453374,0.8736276150739468,0.4267848897679609,0.44684272530598584,0.001,109.68128776550293
2700,0.8632296031016382,0.4226048012701058,0.4406248018315324,0.8735337757618177,0.4270424539702267,0.44649132179159096,0.001,113.82919120788574
2800,0.9364327887937127,0.45875494688321483,0.4776778419104979,0.8727375232576745,0.42666978459871024,0.44606773865896426,0.001,117.99098634719849
2900,0.8812444519125899,0.4318447171675644,0.44939973474502554,0.8725800159705115,0.4267632244358843,0.44581679153462717,0.001,122.0905168056488
3000,0.8789764920772266,0.43045470943070296,0.44852178264652365,0.8723333455795474,0.4267635759764105,0.44556976960313693,0.001,126.14285397529602
