rank,test_index,mechanism,rho_jacobi,rho_gs,rho_sgs_ssor,rho_deeponet_plain,rho_deeponet_skip,rho_deeponet_skip_fourier
0,9,smooth,0.5096616236,0.3488740075,0.2021034396,0.9987889999,0.4659751248,0.2567948035
1,23,smooth,0.5101003295,0.3554033315,0.2095374686,0.9983239139,0.4634993257,0.2734069377
2,49,multiscale,0.6275947722,0.4091485838,0.2405036361,0.9945369243,0.5629843311,0.4712266272
3,50,multiscale,0.5180174135,0.4023194705,0.2301565406,0.9226877257,0.4706731664,0.3349512862
4,56,multiscale,0.6233019951,0.4197759438,0.2572401179,1.000174342,0.5624399906,0.3950064083
5,59,multiscale,0.5113626547,0.3463951837,0.1684155577,0.9935572723,0.4551525294,0.3439937718
6,61,multiscale,0.6727964229,0.4299685738,0.250057955,1.000052706,0.6329559313,0.5183113583
7,73,multiscale,0.5319525628,0.3638102865,0.1882536688,0.9817983538,0.4851230626,0.3370642698
8,75,multiscale,0.5886489672,0.4064396139,0.2400525304,0.9755655177,0.5025668832,0.341872514
9,88,multiscale,0.6150167413,0.3794922641,0.2099626844,0.9996633323,0.545850235,0.4318105715
10,109,localized,0.5794203766,0.4880012613,0.273221793,0.9284963178,0.5603224189,0.4766978334
11,110,localized,0.5997832529,0.4747363981,0.265206762,0.8725176938,0.5768120019,0.4137016917
12,117,localized,0.5379847767,0.5103167617,0.3296463317,0.56173435,0.3842934639,0.2213104584
13,125,localized,0.5286848776,0.4879053107,0.3067535222,0.5694948888,0.3820628405,0.2446216859
14,141,localized,0.5121295248,0.4204737635,0.2123568545,0.7606930864,0.4642982382,0.2799530326
15,213,mixed,0.5206659118,0.3599522895,0.1838593779,0.9799383615,0.4674781048,0.3395606231
16,215,mixed,0.552323431,0.3788017051,0.2075038409,0.9493269383,0.5006832128,0.4225688118
17,216,mixed,0.533542415,0.3468605514,0.1822752323,0.9930524137,0.4794416995,0.341159178
18,222,mixed,0.5253254333,0.3693773523,0.1876585079,0.9884592767,0.4720377548,0.3861461371
19,245,mixed,0.5444869479,0.3719721053,0.1957930793,0.9796392423,0.5009718734,0.3926604994
