epoch,train_total,train_complement,train_full,val_total,val_complement,val_full,lr,seconds
0,0.5025334559956836,0.239171916730925,0.2633615392647585,0.49415960524102753,0.2358694128896329,0.25829019235139467,0.001,0.06590867042541504
100,0.5523533829480824,0.26492877711417595,0.28742460583390644,0.49268335599835716,0.2357713829230521,0.25691197307530506,0.001,4.203293323516846
200,0.5676656791091983,0.27399648484182243,0.2936691942673759,0.4973841051521097,0.23519552722922132,0.26218857792288836,0.001,8.443385124206543
300,0.5361589959024602,0.2544841020008974,0.28167489390156286,0.4903577681064353,0.23439268424340823,0.2559650838630271,0.001,12.563217878341675
400,0.5015313739043132,0.23948697479307055,0.26204439911124267,0.4849822816283108,0.2314804732827251,0.2535018083455857,0.001,16.601226329803467
500,0.5129628864618425,0.24516206071910848,0.267800825742734,0.4839649791988625,0.23087167977263193,0.25309329942623054,0.001,20.655102729797363
600,0.45138478463958775,0.21291866318179797,0.2384661214577898,0.4823679628629259,0.22977526804704362,0.25259269481588226,0.001,24.749027013778687
700,0.49551136118606054,0.23008397069016803,0.2654273904958925,0.48033680625099173,0.22835512454992432,0.25198168170106744,0.001,28.75648593902588
800,0.4772027215513558,0.21689314000039808,0.26030958155095774,0.4743355461689691,0.22498858748792938,0.24934695868103976,0.001,32.64578104019165
900,0.436189954460005,0.2024638184130152,0.23372613604698983,0.47150855009915515,0.22351255121567468,0.24799599888348048,0.001,37.551111936569214
1000,0.4176801834880788,0.1925901959624116,0.22508998752566722,0.47143885045908346,0.22322997512474488,0.24820887533433858,0.001,41.50979828834534
1100,0.3895873870073153,0.1796684966923705,0.20991889031494482,0.4663292723898571,0.22134937984143263,0.24497989254842445,0.001,45.5251989364624
1200,0.41968847604726445,0.19590830687927918,0.22378016916798524,0.46734838234620946,0.22171824265852055,0.2456301396876889,0.001,49.5370934009552
1300,0.4331862683737669,0.20099061656674747,0.23219565180701943,0.46700940043712713,0.22105652533530018,0.24595287510182692,0.001,53.508013010025024
1400,0.49516747404572303,0.22930139800598626,0.2658660760397368,0.4653812874604258,0.22026335382897452,0.24511793363145126,0.001,57.48160767555237
1500,0.4074812060085831,0.18743624752078034,0.22004495848780278,0.4655367968954049,0.22043628212594005,0.24510051476946484,0.001,61.551981925964355
1600,0.39339956528342035,0.17775875917250583,0.21564080611091452,0.46663961081189886,0.22010689343597045,0.2465327173759284,0.001,65.77830839157104
1700,0.3789062253266319,0.17269886392031786,0.206207361406314,0.46635925682593843,0.2201627945894775,0.24619646223646094,0.001,69.84842324256897
1800,0.35744190064023484,0.16102745882110103,0.19641444181913378,0.4654216179905092,0.21937384498021414,0.246047773010295,0.001,73.85498094558716
1900,0.405693628728714,0.18678215400273346,0.21891147472598055,0.46222332371890296,0.21885040646740372,0.24337291725149923,0.001,77.92456412315369
2000,0.33036287796839675,0.14599241805915386,0.1843704599092429,0.46126384037061685,0.21746749507961438,0.24379634529100244,0.001,82.12732529640198
2100,0.3721709875057271,0.17176428316896558,0.2004067043367615,0.4589234421368146,0.21696441070383954,0.241959031432975,0.001,86.28314781188965
2200,0.3696626553280591,0.16194449295050503,0.20771816237755403,0.4565377224668665,0.21511572292435557,0.24142199954251095,0.001,90.4231948852539
2300,0.38845894846216455,0.1741587266886745,0.21430022177349006,0.45941441926465565,0.2152607017512963,0.24415371751335938,0.001,94.50057435035706
2400,0.35945525837707093,0.16270795096527046,0.19674730741180047,0.4538904908104594,0.21477373346972972,0.23911675734072965,0.001,98.46727657318115
2500,0.409493730066535,0.1880852201394374,0.22140850992709762,0.4565227655727289,0.21444239108710886,0.24208037448562006,0.001,102.54265522956848
2600,0.3410817177097691,0.15705879142490461,0.18402292628486447,0.45545217176585684,0.21376566058976199,0.24168651117609485,0.001,106.5931556224823
2700,0.3357447740746188,0.1534404469426566,0.18230432713196215,0.45369535946945694,0.2140870078065685,0.2396083516628884,0.001,110.6361677646637
2800,0.2961979232130896,0.1338903355404855,0.1623075876726041,0.45348961450068836,0.213861901431572,0.23962771306911637,0.001,114.63911581039429
2900,0.3342658168402941,0.15386112464388738,0.1804046921964067,0.4526789044193842,0.2142581848354448,0.2384207195839394,0.001,118.64840579032898
3000,0.3364844745512606,0.15323346794198328,0.18325100660927734,0.45180345598506444,0.21445392244033992,0.23734953354472452,0.001,122.73711085319519
