epoch,train_loss,val_mse,lr
0,0.9564152848,0.8383394244,0.00299999486
1,0.7662111106,0.7351726007,0.002999979438
2,0.6687615311,0.674047379,0.002999953736
3,0.6021788011,0.6320923493,0.002999917754
4,0.5531305874,0.5999360405,0.002999871491
5,0.5154963228,0.5752162304,0.002999814949
6,0.4848847388,0.5546729134,0.002999748127
7,0.4603858056,0.5384939693,0.002999671025
8,0.4407744958,0.5257076481,0.002999583645
9,0.4242284418,0.5136340212,0.002999485987
10,0.4107009744,0.5045384056,0.002999378052
11,0.3989957349,0.4966240771,0.002999259841
12,0.3887282854,0.4894191019,0.002999131353
13,0.3798945123,0.48455092,0.002998992591
14,0.3725735422,0.4795572537,0.002998843554
15,0.3661047781,0.4748529815,0.002998684245
16,0.3602569316,0.4713786558,0.002998514664
17,0.3548924557,0.4674896745,0.002998334812
18,0.3504517585,0.4651150379,0.002998144691
19,0.346705622,0.4622414147,0.002997944302
20,0.3434766446,0.4599938721,0.002997733646
21,0.3400117195,0.4576465934,0.002997512725
22,0.337400606,0.4558023291,0.00299728154
23,0.3350134934,0.4542626944,0.002997040093
24,0.3326600448,0.4524094485,0.002996788385
25,0.3305247901,0.4503175923,0.002996526418
26,0.3289504327,0.449852343,0.002996254195
27,0.3273898984,0.4482340825,0.002995971716
28,0.3255081269,0.4461072153,0.002995678984
29,0.323654223,0.4449935193,0.002995376001
30,0.3227090411,0.4453697396,0.002995062768
31,0.3217221134,0.4435487279,0.002994739289
32,0.3198676428,0.4411031666,0.002994405565
33,0.3186800806,0.4410791997,0.002994061598
34,0.3174421584,0.4409936303,0.002993707391
35,0.316547142,0.4401727659,0.002993342947
36,0.3157356825,0.4388528409,0.002992968267
37,0.3149369438,0.4382046108,0.002992583355
38,0.3142189412,0.4374750473,0.002992188213
39,0.3136496285,0.437887934,0.002991782843
40,0.3132226973,0.4374904371,0.002991367249
41,0.3126937011,0.4369619758,0.002990941433
42,0.3118570681,0.4365223571,0.002990505399
43,0.3120505234,0.4374282752,0.002990059148
44,0.3120332583,0.4373704405,0.002989602685
45,0.3122762845,0.4372783303,0.002989136013
46,0.3123980674,0.4384285958,0.002988659134
47,0.3123824337,0.437501127,0.002988172052
48,0.3121028976,0.436578025,0.00298767477
49,0.312332677,0.4371026306,0.002987167292
50,0.3113323009,0.4362520711,0.002986649621
51,0.3110436279,0.4372722156,0.002986121761
52,0.3111505037,0.4367969785,0.002985583715
53,0.3108310261,0.4360743898,0.002985035487
54,0.3100730853,0.4350560742,0.00298447708
55,0.3087392063,0.4336799327,0.002983908499
56,0.3079378224,0.4333569017,0.002983329748
57,0.3071628717,0.4320628407,0.00298274083
58,0.3068825894,0.4332874219,0.00298214175
59,0.3064481399,0.4311025074,0.002981532511
60,0.3051312507,0.4310014126,0.002980913118
61,0.3048996049,0.4316114497,0.002980283575
62,0.3046204388,0.4300633839,0.002979643886
63,0.3042228639,0.4304867117,0.002978994056
64,0.3034795828,0.4306628762,0.002978334089
65,0.3034816003,0.4305104295,0.002977663989
66,0.3030985605,0.4295076559,0.002976983762
67,0.3019837143,0.4277573177,0.002976293412
68,0.3016508991,0.4285631036,0.002975592943
69,0.3009183201,0.4278553785,0.002974882361
70,0.3006314742,0.4273444178,0.002974161671
71,0.2997458906,0.4259592083,0.002973430876
72,0.2993353259,0.4272035956,0.002972689983
73,0.3001935409,0.4270421894,0.002971938996
74,0.2998856461,0.4268620813,0.002971177921
75,0.2993904285,0.4271068616,0.002970406762
76,0.2992516509,0.4261396346,0.002969625525
77,0.2991109491,0.426880134,0.002968834216
78,0.2988011876,0.4259455393,0.002968032839
79,0.2986153528,0.4253599057,0.002967221401
80,0.2984427887,0.4253785646,0.002966399907
81,0.298122131,0.4249467346,0.002965568362
82,0.2974170585,0.4243231113,0.002964726772
83,0.2970262147,0.4244478202,0.002963875143
84,0.2968812736,0.4245131141,0.002963013481
85,0.2971790297,0.4241550815,0.002962141791
86,0.2963761355,0.4245718925,0.00296126008
87,0.2959361799,0.423990139,0.002960368354
88,0.2952604964,0.4234116027,0.002959466619
